Timestamp,Student,Activity,Lifecycle,Points
2021-09-15 00:18:18,346630,Register,complete,
2021-09-15 00:27:35,351651,Register,complete,
2021-09-15 01:23:21,343682,Register,complete,
2021-09-15 01:37:35,343951,Register,complete,
2021-09-15 01:55:36,348017,Register,complete,
2021-09-15 02:24:03,348457,Register,complete,
2021-09-15 02:55:32,351309,Register,complete,
2021-09-15 03:28:04,351257,Register,complete,
2021-09-15 03:28:46,354309,Register,complete,
2021-09-15 03:45:58,349174,Register,complete,
2021-09-15 04:06:23,352475,Register,complete,
2021-09-15 04:17:12,344414,Register,complete,
2021-09-15 04:32:21,346412,Register,complete,
2021-09-15 04:46:42,349411,Register,complete,
2021-09-15 04:48:50,350870,Register,complete,
2021-09-15 04:50:35,353674,Register,complete,
2021-09-15 05:33:40,350599,Register,complete,
2021-09-15 08:06:34,352804,Register,complete,
2021-09-15 08:51:05,346498,Register,complete,
2021-09-15 08:52:03,352110,Register,complete,
2021-09-15 09:10:07,351119,Register,complete,
2021-09-15 09:15:04,352871,Register,complete,
2021-09-15 09:18:35,347898,Register,complete,
2021-09-15 09:45:42,343877,Register,complete,
2021-09-15 10:16:54,353741,Register,complete,
2021-09-15 11:28:52,351003,Register,complete,
2021-09-15 11:55:34,346943,Register,complete,
2021-09-15 12:06:30,348867,Register,complete,
2021-09-15 13:03:59,347939,Register,complete,
2021-09-15 13:24:14,349040,Register,complete,
2021-09-15 13:55:10,346357,Register,complete,
2021-09-15 14:12:34,347174,Register,complete,
2021-09-15 14:19:01,350005,Register,complete,
2021-09-15 14:37:12,345934,Register,complete,
2021-09-15 15:04:33,345076,Register,complete,
2021-09-15 15:04:45,344770,Register,complete,
2021-09-15 15:29:17,353633,Register,complete,
2021-09-15 15:46:56,344301,Register,complete,
2021-09-15 17:39:19,351837,Register,complete,
2021-09-15 17:53:38,347817,Register,complete,
2021-09-15 18:03:49,348036,Register,complete,
2021-09-15 18:17:55,351220,Register,complete,
2021-09-15 18:33:56,345264,Register,complete,
2021-09-15 18:43:01,347739,Register,complete,
2021-09-15 19:08:35,349990,Register,complete,
